source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,random_uniform,baseline_recomputed,baseline,20260305_153600,XOM,2025-06-23,short,10,HOLD,0.021925997170306327,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153600,XOM,2025-07-07,short,10,BUY,-0.027540236094354697,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153600,XOM,2025-07-07,short,10,BUY,-0.027540236094354697,0,SELL,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153600,XOM,2025-07-07,short,10,HOLD,-0.027540236094354697,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153600,XOM,2025-07-07,short,10,HOLD,-0.027540236094354697,0,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153600,XOM,2025-07-21,short,10,BUY,-0.006293461452286266,0,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153601,XOM,2025-07-21,short,10,BUY,-0.006293461452286266,0,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153602,XOM,2025-07-21,short,10,HOLD,-0.006293461452286266,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153602,XOM,2025-07-21,short,10,HOLD,-0.006293461452286266,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153602,XOM,2025-08-04,short,10,BUY,0.003195171811582962,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153602,XOM,2025-08-04,short,10,BUY,0.003195171811582962,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153603,XOM,2025-08-04,short,10,HOLD,0.003195171811582962,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153603,XOM,2025-08-04,short,10,BUY,0.003195171811582962,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153603,XOM,2025-08-18,short,10,BUY,0.07468139703052719,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153603,XOM,2025-08-18,short,10,SELL,0.07468139703052719,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153604,XOM,2025-08-18,short,10,HOLD,0.07468139703052719,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153604,XOM,2025-08-18,short,10,HOLD,0.07468139703052719,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153604,XOM,2025-09-15,short,10,BUY,0.01664451393105379,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153604,XOM,2025-09-15,short,10,HOLD,0.01664451393105379,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153605,XOM,2025-09-15,short,10,HOLD,0.01664451393105379,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153605,XOM,2025-09-15,short,10,SELL,0.01664451393105379,0,HOLD,N/A
